# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	531	1721	+						41594108	NCAV_RS00005	1191		old_locus_tag=NCAV_0001
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	531	1721	+	WP_103286487.1	WP_103286487.1		orc1/cdc6 family replication initiation protein		41594108	NCAV_RS00005	1191	396	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	1765	2289	+						41594109	NCAV_RS00010	525		old_locus_tag=NCAV_0002
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	1765	2289	+	WP_103286486.1	WP_103286486.1		stage II sporulation protein M		41594109	NCAV_RS00010	525	174	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	2339	3088	+						41594110	NCAV_RS00015	750		old_locus_tag=NCAV_0003
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	2339	3088	+	WP_103286485.1	WP_103286485.1		PAC2 family protein		41594110	NCAV_RS00015	750	249	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	3176	3934	-						41594111	NCAV_RS00020	759		old_locus_tag=NCAV_0004
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	3176	3934	-	WP_103286484.1	WP_103286484.1		SAM-dependent methyltransferase		41594111	NCAV_RS00020	759	252	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	4233	4988	-					pyrH	41594112	NCAV_RS00025	756		old_locus_tag=NCAV_0006
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	4233	4988	-	WP_103286483.1	WP_103286483.1		UMP kinase	pyrH	41594112	NCAV_RS00025	756	251	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	5061	6377	-						41594113	NCAV_RS00030	1317		old_locus_tag=NCAV_0007
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	5061	6377	-	WP_103286482.1	WP_103286482.1		HD domain-containing protein		41594113	NCAV_RS00030	1317	438	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	6409	7002	-					tmk	41594114	NCAV_RS00035	594		old_locus_tag=NCAV_0008
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	6409	7002	-	WP_103286481.1	WP_103286481.1		dTMP kinase	tmk	41594114	NCAV_RS00035	594	197	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	7035	7952	-						41594115	NCAV_RS00040	918		old_locus_tag=NCAV_0009
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	7035	7952	-	WP_103286480.1	WP_103286480.1		metallophosphoesterase		41594115	NCAV_RS00040	918	305	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	8125	8496	+						41594116	NCAV_RS00045	372		old_locus_tag=NCAV_0010
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	8125	8496	+	WP_103286479.1	WP_103286479.1		Hsp20/alpha crystallin family protein		41594116	NCAV_RS00045	372	123	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	8597	10231	-						41594117	NCAV_RS00050	1635		old_locus_tag=NCAV_0011
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	8597	10231	-	WP_103286478.1	WP_103286478.1		AarF/ABC1/UbiB kinase family protein		41594117	NCAV_RS00050	1635	544	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	10323	10715	-						41594118	NCAV_RS00055	393		old_locus_tag=NCAV_0012
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	10323	10715	-	WP_103286477.1	WP_103286477.1		hypothetical protein		41594118	NCAV_RS00055	393	130	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	10867	11286	-						41594119	NCAV_RS00060	420		old_locus_tag=NCAV_0013
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	10867	11286	-	WP_103286476.1	WP_103286476.1		secondary thiamine-phosphate synthase enzyme YjbQ		41594119	NCAV_RS00060	420	139	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	11325	11837	+						41594120	NCAV_RS00065	513		old_locus_tag=NCAV_0014
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	11325	11837	+	WP_103286475.1	WP_103286475.1		NUDIX hydrolase		41594120	NCAV_RS00065	513	170	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	11834	12133	-						41594121	NCAV_RS00070	300		old_locus_tag=NCAV_0015
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	11834	12133	-	WP_103286474.1	WP_103286474.1		hypothetical protein		41594121	NCAV_RS00070	300	99	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	12247	12972	-						41594122	NCAV_RS00075	726		old_locus_tag=NCAV_0016
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	12247	12972	-	WP_103286473.1	WP_103286473.1		ABC transporter permease subunit		41594122	NCAV_RS00075	726	241	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	12983	13702	-						41594123	NCAV_RS00080	720		old_locus_tag=NCAV_0017
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	12983	13702	-	WP_148695086.1	WP_148695086.1		ATP-binding cassette domain-containing protein		41594123	NCAV_RS00080	720	239	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	13699	14655	-					phnD	41594124	NCAV_RS00085	957		old_locus_tag=NCAV_0018
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	13699	14655	-	WP_103286471.1	WP_103286471.1		phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	phnD	41594124	NCAV_RS00085	957	318	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	14857	17370	+						41594125	NCAV_RS00090	2514		old_locus_tag=NCAV_0019
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	14857	17370	+	WP_103286470.1	WP_103286470.1		HEAT repeat domain-containing protein		41594125	NCAV_RS00090	2514	837	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	17439	18380	-						41594126	NCAV_RS00095	942		old_locus_tag=NCAV_0020
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	17439	18380	-	WP_158648641.1	WP_158648641.1		phosphate uptake regulator PhoU		41594126	NCAV_RS00095	942	313	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	18471	19454	+						41594127	NCAV_RS00100	984		old_locus_tag=NCAV_0021
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	18471	19454	+	WP_103286468.1	WP_103286468.1		pantoate kinase		41594127	NCAV_RS00100	984	327	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	19429	20217	+						41594128	NCAV_RS00105	789		old_locus_tag=NCAV_0022
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	19429	20217	+	WP_103286467.1	WP_103286467.1		phosphopantothenate/pantothenate synthetase		41594128	NCAV_RS00105	789	262	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	20260	21180	+					panB	41594129	NCAV_RS00110	921		old_locus_tag=NCAV_0023
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	20260	21180	+	WP_103286466.1	WP_103286466.1		3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	41594129	NCAV_RS00110	921	306	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	21199	22494	+					coaBC	41594130	NCAV_RS00115	1296		old_locus_tag=NCAV_0024
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	21199	22494	+	WP_158648640.1	WP_158648640.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC	41594130	NCAV_RS00115	1296	431	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	22507	22986	-						41594131	NCAV_RS00120	480		old_locus_tag=NCAV_0025
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	22507	22986	-	WP_103286464.1	WP_103286464.1		Lrp/AsnC family transcriptional regulator		41594131	NCAV_RS00120	480	159	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	23110	24192	-						41594132	NCAV_RS00125	1083		old_locus_tag=NCAV_0026
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	23110	24192	-	WP_197706634.1	WP_197706634.1		M24 family metallopeptidase		41594132	NCAV_RS00125	1083	360	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	24266	25345	+						41594133	NCAV_RS00130	1080		old_locus_tag=NCAV_0027
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	24266	25345	+	WP_103287839.1	WP_103287839.1		asparagine synthase-related protein		41594133	NCAV_RS00130	1080	359	
