# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	1615799	75	-						35588673	CRG89_RS00005	1671		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	1615799	75	-	WP_103287816.1	WP_103287816.1		TCP-1/cpn60 chaperonin family protein		35588673	CRG89_RS00005	1671	556	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	162	440	+						35588674	CRG89_RS00010	279		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	162	440	+	WP_103286370.1	WP_103286370.1		50S ribosomal protein L44e		35588674	CRG89_RS00010	279	92	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	437	661	+						35588675	CRG89_RS00015	225		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	437	661	+	WP_197706650.1	WP_197706650.1		hypothetical protein		35588675	CRG89_RS00015	225	74	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	663	1373	-						35588676	CRG89_RS00020	711		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	663	1373	-	WP_103286371.1	WP_103286371.1		NTP transferase domain-containing protein		35588676	CRG89_RS00020	711	236	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	1370	2137	-					cobS	35588677	CRG89_RS00025	768		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	1370	2137	-	WP_103286372.1	WP_103286372.1		adenosylcobinamide-GDP ribazoletransferase	cobS	35588677	CRG89_RS00025	768	255	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	2168	3169	-						35588678	CRG89_RS00030	1002		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	2168	3169	-	WP_103286373.1	WP_103286373.1		cobalamin biosynthesis protein		35588678	CRG89_RS00030	1002	333	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	3175	4044	-						35588679	CRG89_RS00035	870		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	3175	4044	-	WP_197706649.1	WP_197706649.1		cobyric acid synthase		35588679	CRG89_RS00035	870	289	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	4102	5220	-					cobD	35588680	CRG89_RS00040	1119		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	4102	5220	-	WP_148695094.1	WP_148695094.1		threonine-phosphate decarboxylase CobD	cobD	35588680	CRG89_RS00040	1119	372	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	5325	6401	+					asd	35588681	CRG89_RS00045	1077		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	5325	6401	+	WP_103286375.1	WP_103286375.1		aspartate-semialdehyde dehydrogenase	asd	35588681	CRG89_RS00045	1077	358	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	6490	6942	+						35588682	CRG89_RS00050	453		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	6490	6942	+	WP_197706648.1	WP_197706648.1		Lrp/AsnC family transcriptional regulator		35588682	CRG89_RS00050	453	150	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	6995	7876	+					cyoE	35588683	CRG89_RS00055	882		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	6995	7876	+	WP_103287819.1	WP_103287819.1		heme o synthase	cyoE	35588683	CRG89_RS00055	882	293	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	7901	9715	-						35588684	CRG89_RS00060	1815		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	7901	9715	-	WP_158648629.1	WP_158648629.1		calcium-binding protein		35588684	CRG89_RS00060	1815	604	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	9842	11203	-						35588685	CRG89_RS00065	1362		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	9842	11203	-	WP_103287820.1	WP_103287820.1		UbiD family decarboxylase		35588685	CRG89_RS00065	1362	453	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	11193	11516	-						35588686	CRG89_RS00070	324		
